Date,Time,PH,TEMP,DO,TURBIDITY,tempC,label
02-02-2022,23:20:00,7.3,25.18,2.6,33.5,24,0
02-02-2022,23:40:00,7.9,25.11,1.5,29.6,24,0
02-02-2022,00:00:00,7.6,25.01,0.8,31.3,24,0
02-02-2022,00:20:00,8.4,24.81,1.7,23.9,23,0
02-02-2022,00:40:00,8.5,24.63,1.3,21.2,25,0
02-02-2022,01:00:00,8,24.49,0.6,25.7,28,0
02-02-2022,01:20:00,8.2,24.31,2.3,26.4,31,0
02-02-2022,01:40:00,8.5,24.28,1.8,19.1,35,0
02-02-2022,02:00:00,7.3,24.27,0.6,23.5,38,0
02-02-2022,02:20:00,7.6,24.07,0,31.3,39,0
02-02-2022,02:40:00,8.1,24.02,1.3,21,39,0
02-02-2022,03:00:00,7.7,23.96,1.2,22,40,0
02-02-2022,03:20:00,8.6,23.91,1.8,29.9,38,0
02-02-2022,03:40:00,7.6,23.82,0,34.4,37,0
02-02-2022,04:00:00,7.3,23.71,2.3,30.9,35,0
02-02-2022,04:20:00,7.4,23.66,0.9,20.4,31,0
02-02-2022,04:40:00,7.4,23.64,2.8,21.7,29,0
02-02-2022,05:00:00,8.8,23.46,1.5,32.3,27,0
02-02-2022,05:20:00,7.4,23.42,1.4,20.3,26,0
02-02-2022,05:40:00,8.1,23.16,1.5,18.7,26,0
02-02-2022,06:00:00,8.2,22.97,0.9,28.6,25,0
02-02-2022,06:20:00,8.5,22.9,2.8,25.8,25,0
02-02-2022,06:40:00,8.4,22.73,1.6,29.9,24,0
02-02-2022,07:00:00,7.9,22.71,2.2,27.3,23,0
03-02-2022,07:20:00,8.6,22.53,1.6,18.7,22,0
03-02-2022,07:40:00,7.8,22.45,1.4,21.8,24,0
03-02-2022,08:00:00,8.5,22.17,1.3,30.4,28,0
03-02-2022,08:20:00,7.5,22.12,2.3,21.1,31,0
03-02-2022,08:40:00,8.2,22.05,2.5,30.1,35,0
03-02-2022,09:00:00,8.4,21.72,0.9,31.3,38,0
03-02-2022,09:20:00,8.3,21.71,1.8,28.2,39,0
03-02-2022,09:40:00,8.5,21.63,1,28.7,39,0
03-02-2022,10:00:00,7.6,21.62,2.5,24.8,40,0
03-02-2022,10:20:00,7.6,21.36,0.8,32.9,36,0
03-02-2022,10:40:00,7.6,21.02,0.5,28,34,0
03-02-2022,11:00:00,8.8,21.2,2.5,25.3,32,0
03-02-2022,11:20:00,8.3,21.24,1.4,29.1,30,0
03-02-2022,11:40:00,8.9,21.27,0.9,24.5,28,0
03-02-2022,12:00:00,8.5,21.51,2,30,27,0
03-02-2022,12:20:00,8.9,21.9,0.1,22.4,27,0
03-02-2022,12:40:00,8.1,22.1,1.3,27.4,27,0
03-02-2022,13:00:00,8.2,22.34,2,32.5,26,0
03-02-2022,13:20:00,7.8,22.5,0.8,27.8,25,0
03-02-2022,13:40:00,7.5,22.7,0.8,26.8,24,0
03-02-2022,14:00:00,8.2,22.72,2.3,26.9,24,0
03-02-2022,14:20:00,7.3,23.48,1.7,21.1,24,0
03-02-2022,14:40:00,7.3,23.52,1,27.3,26,0
03-02-2022,15:00:00,7.7,23.84,2.1,33.2,28,0
03-02-2022,15:20:00,8.7,23.89,0.9,25.2,31,0
03-02-2022,15:40:00,8.8,24.12,1.9,26.6,36,0
03-02-2022,16:00:00,8.4,24.15,1.7,21.3,37,0
03-02-2022,16:20:00,8.8,24.21,2.8,24.1,38,0
03-02-2022,16:40:00,8.5,24.23,0.2,28.9,39,0
03-02-2022,17:00:00,7.9,24.52,1.6,32.4,37,0
03-02-2022,17:20:00,8.9,24.8,2.2,32.3,36,0
03-02-2022,17:40:00,8,24.91,1.6,19.1,35,0
03-02-2022,18:00:00,7.5,24.97,2.3,26,32,0
03-02-2022,18:20:00,7.8,25.63,0.1,26.7,26,0
03-02-2022,18:40:00,7.8,25.51,2.6,31.3,25,0
03-02-2022,19:00:00,8.6,25.1,1.8,22.7,23,0
03-02-2022,19:20:00,8.3,25.07,1.3,32,23,0
03-02-2022,19:40:00,8.8,25.06,0.3,21.3,23,0
03-02-2022,20:00:00,8.1,24.93,2.7,26.1,22,0
03-02-2022,20:20:00,8.6,24.85,1.2,19.8,24,0
03-02-2022,20:40:00,7.5,24.84,1.5,31.7,25,0
03-02-2022,21:00:00,8.9,24.66,1.6,28.4,26,0
03-02-2022,21:20:00,8.5,24.19,1.9,33.1,30,0
03-02-2022,21:40:00,7.5,24.05,2.6,25.5,34,0
03-02-2022,22:00:00,8.5,23.89,0.3,18.7,38,0
03-02-2022,22:20:00,8.8,23.77,1.2,32.6,38,0
03-02-2022,22:40:00,8.4,23.76,0.9,29.8,36,0
03-02-2022,23:00:00,8.3,23.74,0,34.2,34,0
03-02-2022,23:20:00,8,23.66,1.8,34.3,32,0
03-02-2022,23:40:00,8.5,23.66,2.8,29.3,31,0
03-02-2022,00:00:00,7.9,23.57,0.8,26.4,31,0
03-02-2022,00:20:00,7.3,23.54,0.4,33.8,31,0
03-02-2022,00:40:00,7.4,23.45,2.4,34.1,30,0
03-02-2022,01:00:00,8.6,23.14,1.5,31.6,29,0
03-02-2022,01:20:00,8.9,23.07,1.1,28.8,29,0
03-02-2022,01:40:00,7.5,23.01,2.2,21.8,28,0
03-02-2022,02:00:00,8,22.87,1.1,26.8,27,0
03-02-2022,02:20:00,8.3,22.61,0.4,31.5,25,0
03-02-2022,02:40:00,7.3,22.57,0.3,33.2,26,0
03-02-2022,03:00:00,8.8,22.53,0.5,29.8,26,0
03-02-2022,03:20:00,8.8,22.31,0.4,22.6,27,0
03-02-2022,03:40:00,7.7,22.26,2.3,31,29,0
03-02-2022,04:00:00,7.7,22.25,0.1,25.1,31,0
03-02-2022,04:20:00,7.9,21.96,1.8,25.5,33,0
03-02-2022,04:40:00,8.1,21.72,1.7,28.5,34,0
03-02-2022,05:00:00,7.3,21.7,1.1,25.5,35,0
03-02-2022,05:20:00,7.5,21.63,2.1,31.2,36,0
03-02-2022,05:40:00,8,21.1,0.4,33,35,0
03-02-2022,06:00:00,8.3,21.09,2.3,30.3,34,0
03-02-2022,06:20:00,7.9,21.01,1.5,24.9,34,0
03-02-2022,06:40:00,8.7,21.73,2.3,19.3,32,0
03-02-2022,07:00:00,7.3,21.8,0.2,33.8,29,0
04-02-2022,07:20:00,8.9,21.8,2.1,25.4,28,0
04-02-2022,07:40:00,8.3,22.33,2.6,23.3,27,0
04-02-2022,08:00:00,8.2,22.49,2.5,27.4,25,0
04-02-2022,08:20:00,8.8,22.6,2.6,22.3,24,0
04-02-2022,08:40:00,8.6,22.79,1.8,33.9,23,0
04-02-2022,09:00:00,7.8,22.81,2.2,25.4,23,0
04-02-2022,09:20:00,7.4,22.85,2.8,27.6,22,0
04-02-2022,09:40:00,8,22.94,2.6,34.3,24,0
04-02-2022,10:00:00,8.3,22.96,1.2,27.7,26,0
04-02-2022,10:20:00,8.6,23.7,1.6,33.4,36,0
04-02-2022,10:40:00,8.3,23.97,2.1,31.7,37,0
04-02-2022,11:00:00,8.2,24.53,2,23.7,37,0
04-02-2022,11:20:00,7.6,24.62,1,33.9,38,0
04-02-2022,11:40:00,8.8,24.81,1.1,29.9,36,0
04-02-2022,12:00:00,8,25.39,2.4,21.3,34,0
04-02-2022,12:20:00,8,25.42,1.9,29.4,32,0
04-02-2022,12:40:00,8.7,25.47,0,27.4,32,0
04-02-2022,13:00:00,8.2,25.8,1.5,25.2,31,0
04-02-2022,13:20:00,7.9,25.56,0.1,33,29,0
04-02-2022,13:40:00,8.5,25.38,2.4,25.4,28,0
04-02-2022,14:00:00,8.3,25.22,2.7,33,27,0
04-02-2022,14:20:00,7.4,25.13,0.1,27,27,0
04-02-2022,14:40:00,7.5,25.03,0.2,31.4,25,0
04-02-2022,15:00:00,7.7,24.86,2.7,31.5,24,0
04-02-2022,15:20:00,8.5,24.73,0.1,30.3,23,0
04-02-2022,15:40:00,7.3,24.66,2.9,33.7,22,0
04-02-2022,16:00:00,8.1,24.57,1.9,32.7,24,0
04-02-2022,16:20:00,8.1,24.45,1.8,29.2,25,0
04-02-2022,16:40:00,8.1,24.4,1.8,25,27,0
04-02-2022,17:00:00,8.7,24.25,1.7,27.2,30,0
04-02-2022,17:20:00,7.3,24.22,2.8,22.1,33,0
04-02-2022,17:40:00,7.5,24.16,2.3,33.4,37,0
04-02-2022,18:00:00,7.7,24.14,2.1,24.1,38,0
04-02-2022,18:20:00,8.5,23.94,1.6,26.2,39,0
04-02-2022,18:40:00,8,23.78,1.7,29.5,40,0
04-02-2022,19:00:00,8.3,23.77,2.6,34.1,38,0
04-02-2022,19:20:00,8.1,23.74,2.7,28,34,0
04-02-2022,19:40:00,7.5,23.72,0.1,25.4,32,0
04-02-2022,20:00:00,8,23.64,2.4,29,29,0
04-02-2022,20:20:00,8.4,23.56,1.4,34.1,27,0
04-02-2022,20:40:00,8.8,23.3,1.2,18.8,27,0
04-02-2022,21:00:00,7.9,23.17,2.4,34.4,26,0
04-02-2022,21:20:00,8.8,23.16,1.1,24.7,25,0
04-02-2022,21:40:00,7.3,23.13,0.7,31.3,25,0
04-02-2022,22:00:00,8.7,23.02,1.9,19,24,0
04-02-2022,22:20:00,8.8,22.82,2.8,25.8,24,0
04-02-2022,22:40:00,8.4,22.78,0.4,27.8,23,0
04-02-2022,23:00:00,8.3,22.52,1,28,22,0
04-02-2022,23:20:00,7.7,22.38,0.3,22.4,22,0
04-02-2022,23:40:00,7.9,22.38,1.3,24,23,0
04-02-2022,00:00:00,8.6,22.31,0.8,31.8,25,0
04-02-2022,00:20:00,7.3,22.19,0,32.1,27,0
04-02-2022,00:40:00,7.6,22.18,0.5,31.8,30,0
04-02-2022,01:00:00,8.3,22.03,0.1,31.6,33,0
04-02-2022,01:20:00,7.8,21.92,2.5,25.6,36,0
04-02-2022,01:40:00,8.6,21.72,2,26.2,37,0
04-02-2022,02:00:00,7.7,21.71,1.8,26.4,38,0
04-02-2022,02:20:00,7.4,21.7,1.2,30.4,38,0
04-02-2022,02:40:00,8.1,21.55,1.1,30.3,37,0
04-02-2022,03:00:00,7.8,21.3,1.8,26.3,36,0
04-02-2022,03:20:00,8.3,21.1,2.2,32,34,0
04-02-2022,03:40:00,8.6,21.05,0,33.7,32,0
04-02-2022,04:00:00,7.9,21.25,2.6,29.6,30,0
04-02-2022,04:20:00,8.9,21.42,0.1,25,28,0
04-02-2022,04:40:00,8.4,21.58,2.5,19,27,0
04-02-2022,05:00:00,8.2,21.8,0.1,22.7,25,0
04-02-2022,05:20:00,7.4,21.88,0.3,24.4,24,0
04-02-2022,05:40:00,7.5,22.3,0.5,24,23,0
04-02-2022,06:00:00,8.9,22.97,2.6,32,22,0
04-02-2022,06:20:00,8.1,23.07,1.7,21.1,22,0
04-02-2022,06:40:00,7.8,23.14,1,27.2,24,0
04-02-2022,07:00:00,7.9,23.18,1.9,30.8,25,0
05-02-2022,07:20:00,8.7,23.24,0,22.9,28,0
05-02-2022,07:40:00,8.1,23.82,2.4,32.1,31,0
05-02-2022,08:00:00,7.6,24.09,0.7,24.9,34,0
05-02-2022,08:20:00,8.5,24.44,0.9,30,35,0
05-02-2022,08:40:00,8.8,24.49,0,18.8,36,0
05-02-2022,09:00:00,8.8,24.82,1.4,21.2,34,0
05-02-2022,09:20:00,7.7,25.44,0.5,31,31,0
05-02-2022,09:40:00,8.9,25.47,0.8,22.6,30,0
05-02-2022,10:00:00,7.8,25.58,1.9,32.7,29,0
05-02-2022,10:20:00,7.5,25.76,1.7,22.5,28,0
05-02-2022,10:40:00,8.5,25.71,1.9,26.9,28,0
05-02-2022,11:00:00,8.6,25.62,0.8,31.8,28,0
05-02-2022,11:20:00,8.8,25.58,2.4,22.9,28,0
05-02-2022,11:40:00,8.9,25.54,2.8,33.7,27,0
05-02-2022,12:00:00,8.5,25.51,2.5,34.4,26,0
05-02-2022,12:20:00,8.2,25.25,0.8,22.7,25,0
05-02-2022,12:40:00,8,24.92,0.9,32.3,25,0
05-02-2022,13:00:00,7.8,24.69,2.1,24.8,26,0
05-02-2022,13:20:00,8.8,24.68,0.4,34,28,0
05-02-2022,13:40:00,8.1,24.59,1.6,27.7,30,0
05-02-2022,14:00:00,8,24.31,2.5,28.1,32,0
05-02-2022,14:20:00,8.7,24.26,1,23.6,32,0
05-02-2022,14:40:00,7.6,24.05,0.3,28.8,31,0
05-02-2022,15:00:00,7.4,23.95,0.3,21.1,31,0
05-02-2022,15:20:00,8.5,23.93,1,27.5,31,0
05-02-2022,15:40:00,8.3,23.77,1.2,24.4,31,0
05-02-2022,16:00:00,8.2,23.7,1.6,20,31,0
05-02-2022,16:20:00,8.2,23.51,0.5,33.2,29,0
05-02-2022,16:40:00,8.6,23.51,2.2,25.9,27,0
05-02-2022,17:00:00,7.7,23.49,1.3,27.4,26,0
05-02-2022,17:20:00,7.8,23.31,2.4,22.4,25,0
05-02-2022,17:40:00,7.4,23.13,2.4,24.9,24,0
05-02-2022,18:00:00,7.7,23.02,2.6,26.1,24,0
05-02-2022,18:20:00,8,22.69,2.7,24.8,22,0
05-02-2022,18:40:00,7.7,22.26,2.6,23.3,20,0
05-02-2022,19:00:00,8.3,22.15,1,34,24,0
05-02-2022,19:20:00,8.1,21.93,2.7,25.8,33,0
05-02-2022,19:40:00,7.4,21.8,1.4,22.5,36,0
05-02-2022,20:00:00,7.7,21.75,2.4,30.8,37,0
05-02-2022,20:20:00,7.7,21.66,2.7,31.8,37,0
05-02-2022,20:40:00,7.3,21.12,0.9,32.3,33,0
05-02-2022,21:00:00,8.7,21.02,1.5,20.9,31,0
05-02-2022,21:20:00,7.9,21.4,2.8,21.3,30,0
05-02-2022,21:40:00,8.5,21.55,0.2,28.6,28,0
05-02-2022,22:00:00,8.4,21.88,0.1,31.4,27,0
05-02-2022,22:20:00,8,22.35,2.2,29.2,26,0
05-02-2022,22:40:00,8,23.05,1.6,23.4,24,0
05-02-2022,23:00:00,7.7,23.55,0.2,23.3,21,0
05-02-2022,23:20:00,7.3,23.76,1.1,27.1,23,0
05-02-2022,23:40:00,7.7,23.9,1.3,29,26,0
05-02-2022,00:00:00,7.9,24.13,1.7,23.7,29,0
05-02-2022,00:20:00,8.7,24.37,0.9,32.1,32,0
05-02-2022,00:40:00,8.1,24.74,0.2,29.8,35,0
05-02-2022,01:00:00,7.8,25.04,0.1,31.5,38,0
05-02-2022,01:20:00,8.1,25.12,2.4,23.3,38,0
05-02-2022,01:40:00,8.2,25.34,0.1,26.3,38,0
05-02-2022,02:00:00,7.8,25.37,0.6,28,38,0
05-02-2022,02:20:00,8,25.43,0.8,26,37,0
05-02-2022,02:40:00,8.7,25.5,0.1,20.4,36,0
05-02-2022,03:00:00,8.9,25.61,2.7,19.3,34,0
05-02-2022,03:20:00,7.3,25.96,2.9,33.3,32,0
05-02-2022,03:40:00,7.7,25.99,1.6,28.9,30,0
05-02-2022,04:00:00,7.8,25.96,2.9,22.8,28,0
05-02-2022,04:20:00,7.6,25.95,2.1,18.8,27,0
05-02-2022,04:40:00,8.6,25.9,1.7,33.4,26,0
05-02-2022,05:00:00,7.9,25.74,0.7,32,25,0
05-02-2022,05:20:00,8.3,25.63,2.7,30.9,25,0
05-02-2022,05:40:00,7.6,25.5,0.9,29.8,24,0
05-02-2022,06:00:00,7.7,25.32,0.2,21.9,24,0
05-02-2022,06:20:00,8.5,25.25,0.3,22.9,23,0
05-02-2022,06:40:00,8.4,25.01,0.5,24,23,0
05-02-2022,07:00:00,7.6,24.89,2.2,20.8,24,0
06-02-2022,07:20:00,8.8,24.83,2.7,30.2,26,0
06-02-2022,07:40:00,7.6,24.5,1.1,31,35,0
06-02-2022,08:00:00,7.8,24.38,0.4,29,39,0
06-02-2022,08:20:00,7.5,24.29,1.9,27.4,41,0
06-02-2022,08:40:00,7.6,24.1,1.3,29,39,0
06-02-2022,09:00:00,8.4,24.01,2.6,32.2,37,0
06-02-2022,09:20:00,7.9,23.9,1,26.7,34,0
06-02-2022,09:40:00,8.6,23.79,1.3,25.2,32,0
06-02-2022,10:00:00,8.2,23.68,0.7,24,31,0
06-02-2022,10:20:00,8.9,23.66,2.7,32,29,0
06-02-2022,10:40:00,8.1,23.62,1.6,18.8,28,0
06-02-2022,11:00:00,8.6,23.22,2.5,28.3,27,0
06-02-2022,11:20:00,8.7,23.18,2.8,24.2,26,0
06-02-2022,11:40:00,7.6,22.74,0.3,19.1,25,0
06-02-2022,12:00:00,8.9,23.88,1.4,29.6,25,0
06-02-2022,12:20:00,8.5,23.84,0.3,33.2,24,0
06-02-2022,12:40:00,8.2,23.41,1.7,31,23,0
06-02-2022,13:00:00,7.3,23.38,1.5,33.2,22,0
06-02-2022,13:20:00,8,23.08,0.4,19.5,26,0
06-02-2022,13:40:00,8.2,22.91,2,20.3,31,0
06-02-2022,14:00:00,7.5,22.88,2.9,30.8,38,0
06-02-2022,14:20:00,8.4,22.83,2,25.4,39,0
06-02-2022,14:40:00,8,22.75,0.8,27.2,39,0
06-02-2022,15:00:00,8.1,22.55,2.4,29.9,40,0
06-02-2022,15:20:00,7.3,22.33,1.5,21.5,39,0
06-02-2022,15:40:00,7.3,22.13,1.1,19.4,37,0
06-02-2022,16:00:00,7.3,22.08,2.9,33.9,36,0
06-02-2022,16:20:00,8.6,22.04,2.9,32.9,34,0
06-02-2022,16:40:00,7.5,22.14,0.1,21.7,31,0
06-02-2022,17:00:00,8.9,22.2,0.8,21.1,29,0
06-02-2022,17:20:00,8.6,22.28,0.4,33.6,28,0
06-02-2022,17:40:00,8.2,22.28,1.9,31,27,0
06-02-2022,18:00:00,7.3,22.97,0.9,32.4,26,0
06-02-2022,18:20:00,8.2,23.07,0.8,20.5,26,0
06-02-2022,18:40:00,7.5,23.16,2.4,26.2,25,0
06-02-2022,19:00:00,8.9,23.23,0.9,20,25,0
06-02-2022,19:20:00,8.9,23.37,0.5,33.4,25,0
06-02-2022,19:40:00,8.8,23.47,0.2,32,25,0
06-02-2022,20:00:00,8.8,23.79,1.5,28.6,28,0
06-02-2022,20:20:00,7.4,24.48,1.1,33.3,35,0
06-02-2022,20:40:00,7.5,25.32,0.5,24.3,37,0
06-02-2022,21:00:00,8.5,25.5,0.9,24.5,40,0
06-02-2022,21:20:00,8,25.62,2.7,29.6,39,0
06-02-2022,21:40:00,8,25.85,0.5,33.5,38,0
06-02-2022,22:00:00,8.1,26.35,0.9,20.9,37,0
06-02-2022,22:20:00,7.4,26.36,0.1,20.9,36,0
06-02-2022,22:40:00,8.4,26.71,2.6,33.4,36,0
06-02-2022,23:00:00,7.4,26.91,0,30.5,34,0
06-02-2022,23:20:00,8.9,26.91,0.1,20,33,0
06-02-2022,23:40:00,7.8,26.98,0.4,34.1,31,0
06-02-2022,00:00:00,7.4,26.98,2.1,22,31,0
06-02-2022,00:20:00,8.1,26.84,0.7,19.6,30,0
06-02-2022,00:40:00,8.7,26.84,1,32,30,0
06-02-2022,01:00:00,8.8,26.73,1.8,21.5,29,0
06-02-2022,01:20:00,8.3,26.59,1.8,34,28,0
06-02-2022,01:40:00,8.9,26.56,1.4,33.7,28,0
06-02-2022,02:00:00,7.5,26.42,1.3,23.9,27,0
06-02-2022,02:20:00,8.9,26.33,1.6,20.1,27,0
06-02-2022,02:40:00,8.6,26.08,1.8,32.5,28,0
06-02-2022,03:00:00,8.4,25.71,2.2,33.2,29,0
06-02-2022,03:20:00,7.3,25.6,1.4,29.9,31,0
06-02-2022,03:40:00,8.6,25.32,0.2,26,35,0
06-02-2022,04:00:00,7.8,25.3,2.5,28.3,37,0
06-02-2022,04:20:00,7.7,25.21,2.8,20.3,37,0
06-02-2022,04:40:00,8.6,25.2,0.8,29.1,37,0
06-02-2022,05:00:00,8.1,25.1,1.2,33.1,36,0
06-02-2022,05:20:00,7.7,25.05,1,31.7,35,0
06-02-2022,05:40:00,8.7,25.04,2.1,24.7,34,0
06-02-2022,06:00:00,8.7,24.86,2.9,24.2,32,0
06-02-2022,06:20:00,8.6,24.78,0.9,31,31,0
06-02-2022,06:40:00,8.5,24.63,2.3,23.5,30,0
06-02-2022,07:00:00,7.5,24.42,0.4,27.1,29,0
