id,Texture_sol,Couleur_sol,Type_irrigation,Hauteur_Eau,Niveau_Engrais,Temperature_Actuelle,Densite_Tilapia_Are
27,Argileux (Madity),Brun-Grisatre,Pluvial,9,Fort (Zezika + NPK),très chaud,38
28,Sableux,Brun-Grisatre,Pluvial,13,Fort (Zezika + NPK),chaud,37
29,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),16,Nul,humide,36
30,Limoneux,Noiratre (Rich),Irrigue (Continu),6,Nul,froid,31
31,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),16,Nul,très chaud,47
32,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),humide,40
33,Argileux (Madity),Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),chaud,49
34,Argileux (Madity),Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),tres froid,17
35,Sableux,Brun-Grisatre,Irrigue (Continu),7,Fort (Zezika + NPK),tres froid,17
36,Argileux (Madity),Brun-Grisatre,Pluvial,20,Fort (Zezika + NPK),humide,33
37,Limoneux,Brun-Grisatre,Pluvial,6,Moyen (Zezika Omby),très chaud,17
38,Argileux (Madity),Orange / Rouge,Pluvial,8,Nul,froid,10
39,Argileux (Madity),Orange / Rouge,Pluvial,13,Nul,très chaud,14
40,Sableux,Brun-Grisatre,Irrigue (Continu),11,Nul,chaud,26
41,Argileux (Madity),Orange / Rouge,Pluvial,9,Nul,très chaud,10
42,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Nul,très chaud,37
43,Argileux (Madity),Brun-Grisatre,Pluvial,12,Moyen (Zezika Omby),humide,26
44,Sableux,Brun-Grisatre,Irrigue (Continu),20,Nul,humide,20
45,Sableux,Orange / Rouge,Irrigue (Continu),16,Moyen (Zezika Omby),très chaud,44
46,Limoneux,Orange / Rouge,Pluvial,10,Moyen (Zezika Omby),chaud,43
47,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),10,Moyen (Zezika Omby),chaud,50
48,Sableux,Orange / Rouge,Pluvial,5,Moyen (Zezika Omby),froid,10
49,Limoneux,Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),humide,25
50,Sableux,Brun-Grisatre,Irrigue (Continu),16,Nul,humide,21
51,Sableux,Brun-Grisatre,Irrigue (Continu),16,Moyen (Zezika Omby),froid,26
52,Sableux,Brun-Grisatre,Pluvial,15,Nul,chaud,27
53,Sableux,Orange / Rouge,Pluvial,13,Fort (Zezika + NPK),très chaud,20
54,Sableux,Orange / Rouge,Pluvial,13,Nul,chaud,15
55,Sableux,Brun-Grisatre,Irrigue (Continu),8,Moyen (Zezika Omby),tres froid,10
56,Sableux,Orange / Rouge,Pluvial,6,Fort (Zezika + NPK),chaud,10
57,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),9,Fort (Zezika + NPK),très chaud,50
58,Limoneux,Noiratre (Rich),Pluvial,16,Nul,tres froid,11
59,Limoneux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),tres froid,10
60,Limoneux,Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),froid,25
61,Argileux (Madity),Brun-Grisatre,Pluvial,20,Fort (Zezika + NPK),tres froid,28
62,Limoneux,Brun-Grisatre,Pluvial,11,Moyen (Zezika Omby),tres froid,10
63,Limoneux,Orange / Rouge,Pluvial,20,Nul,tres froid,10
64,Sableux,Orange / Rouge,Irrigue (Continu),9,Fort (Zezika + NPK),chaud,40
65,Limoneux,Orange / Rouge,Irrigue (Continu),5,Nul,humide,12
66,Limoneux,Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),très chaud,33
67,Argileux (Madity),Noiratre (Rich),Pluvial,19,Moyen (Zezika Omby),très chaud,30
68,Sableux,Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),froid,18
69,Argileux (Madity),Brun-Grisatre,Pluvial,10,Fort (Zezika + NPK),froid,21
70,Sableux,Brun-Grisatre,Irrigue (Continu),7,Fort (Zezika + NPK),humide,23
71,Limoneux,Noiratre (Rich),Pluvial,6,Moyen (Zezika Omby),très chaud,19
72,Argileux (Madity),Orange / Rouge,Pluvial,12,Nul,chaud,21
73,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),13,Nul,tres froid,11
74,Sableux,Noiratre (Rich),Pluvial,13,Nul,chaud,34
75,Limoneux,Brun-Grisatre,Irrigue (Continu),20,Moyen (Zezika Omby),tres froid,31
76,Sableux,Noiratre (Rich),Irrigue (Continu),7,Moyen (Zezika Omby),humide,25
77,Argileux (Madity),Noiratre (Rich),Pluvial,18,Nul,tres froid,20
78,Sableux,Noiratre (Rich),Irrigue (Continu),13,Nul,froid,27
79,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),17,Fort (Zezika + NPK),froid,50
80,Limoneux,Orange / Rouge,Pluvial,19,Nul,chaud,19
81,Sableux,Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),chaud,31
82,Argileux (Madity),Orange / Rouge,Pluvial,9,Fort (Zezika + NPK),tres froid,20
83,Argileux (Madity),Noiratre (Rich),Pluvial,7,Nul,tres froid,10
84,Limoneux,Brun-Grisatre,Pluvial,7,Fort (Zezika + NPK),tres froid,16
85,Sableux,Brun-Grisatre,Pluvial,14,Moyen (Zezika Omby),chaud,34
86,Sableux,Noiratre (Rich),Pluvial,12,Moyen (Zezika Omby),chaud,21
87,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),18,Fort (Zezika + NPK),chaud,50
88,Sableux,Brun-Grisatre,Irrigue (Continu),15,Moyen (Zezika Omby),chaud,44
89,Sableux,Brun-Grisatre,Irrigue (Continu),5,Moyen (Zezika Omby),chaud,33
90,Argileux (Madity),Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),froid,36
91,Limoneux,Orange / Rouge,Irrigue (Continu),8,Fort (Zezika + NPK),humide,33
92,Sableux,Noiratre (Rich),Pluvial,14,Nul,tres froid,10
93,Argileux (Madity),Orange / Rouge,Pluvial,18,Nul,chaud,27
94,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Fort (Zezika + NPK),humide,50
95,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Nul,froid,34
96,Sableux,Brun-Grisatre,Pluvial,12,Moyen (Zezika Omby),très chaud,15
97,Sableux,Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),humide,41
98,Limoneux,Brun-Grisatre,Irrigue (Continu),7,Nul,tres froid,10
99,Limoneux,Brun-Grisatre,Irrigue (Continu),18,Nul,humide,31
100,Argileux (Madity),Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),tres froid,24
101,Sableux,Orange / Rouge,Irrigue (Continu),16,Nul,très chaud,11
102,Sableux,Brun-Grisatre,Pluvial,7,Moyen (Zezika Omby),tres froid,10
103,Sableux,Noiratre (Rich),Pluvial,13,Nul,froid,10
104,Sableux,Orange / Rouge,Pluvial,7,Fort (Zezika + NPK),chaud,24
105,Argileux (Madity),Noiratre (Rich),Pluvial,8,Nul,tres froid,20
106,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),9,Fort (Zezika + NPK),froid,40
107,Sableux,Brun-Grisatre,Pluvial,12,Nul,chaud,30
108,Limoneux,Noiratre (Rich),Irrigue (Continu),15,Fort (Zezika + NPK),chaud,50
109,Sableux,Noiratre (Rich),Irrigue (Continu),9,Moyen (Zezika Omby),froid,34
110,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),16,Nul,froid,33
111,Limoneux,Brun-Grisatre,Irrigue (Continu),5,Nul,froid,10
112,Sableux,Orange / Rouge,Pluvial,15,Nul,très chaud,10
113,Sableux,Brun-Grisatre,Irrigue (Continu),19,Fort (Zezika + NPK),très chaud,43
114,Sableux,Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),chaud,40
115,Sableux,Brun-Grisatre,Irrigue (Continu),5,Fort (Zezika + NPK),tres froid,10
116,Argileux (Madity),Brun-Grisatre,Pluvial,12,Nul,très chaud,23
117,Limoneux,Brun-Grisatre,Pluvial,18,Nul,chaud,34
118,Argileux (Madity),Orange / Rouge,Pluvial,16,Fort (Zezika + NPK),froid,29
119,Sableux,Brun-Grisatre,Pluvial,8,Nul,froid,10
120,Limoneux,Orange / Rouge,Pluvial,15,Fort (Zezika + NPK),humide,31
121,Limoneux,Orange / Rouge,Pluvial,18,Moyen (Zezika Omby),chaud,15
122,Sableux,Noiratre (Rich),Irrigue (Continu),14,Nul,tres froid,20
123,Limoneux,Noiratre (Rich),Irrigue (Continu),17,Fort (Zezika + NPK),froid,42
124,Sableux,Orange / Rouge,Irrigue (Continu),5,Moyen (Zezika Omby),très chaud,10
125,Sableux,Noiratre (Rich),Irrigue (Continu),10,Fort (Zezika + NPK),humide,38
126,Argileux (Madity),Noiratre (Rich),Pluvial,18,Nul,froid,24
127,Limoneux,Brun-Grisatre,Irrigue (Continu),7,Moyen (Zezika Omby),chaud,42
128,Sableux,Noiratre (Rich),Pluvial,14,Moyen (Zezika Omby),tres froid,11
129,Argileux (Madity),Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),très chaud,40
130,Argileux (Madity),Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),humide,36
131,Sableux,Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),froid,17
132,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),9,Nul,chaud,41
133,Argileux (Madity),Brun-Grisatre,Pluvial,9,Fort (Zezika + NPK),tres froid,22
134,Sableux,Brun-Grisatre,Pluvial,8,Fort (Zezika + NPK),très chaud,23
135,Sableux,Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),chaud,36
136,Limoneux,Orange / Rouge,Irrigue (Continu),12,Fort (Zezika + NPK),tres froid,15
137,Sableux,Brun-Grisatre,Pluvial,13,Fort (Zezika + NPK),froid,16
138,Limoneux,Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),froid,18
139,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),10,Fort (Zezika + NPK),froid,45
140,Limoneux,Brun-Grisatre,Pluvial,7,Nul,très chaud,10
141,Sableux,Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),très chaud,10
142,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Nul,chaud,45
143,Sableux,Orange / Rouge,Irrigue (Continu),20,Nul,humide,16
144,Argileux (Madity),Orange / Rouge,Pluvial,16,Nul,très chaud,26
145,Sableux,Orange / Rouge,Pluvial,15,Nul,humide,10
146,Limoneux,Noiratre (Rich),Pluvial,16,Fort (Zezika + NPK),humide,45
147,Argileux (Madity),Orange / Rouge,Pluvial,18,Moyen (Zezika Omby),chaud,43
148,Limoneux,Brun-Grisatre,Pluvial,11,Nul,tres froid,10
149,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Nul,humide,37
150,Limoneux,Orange / Rouge,Pluvial,17,Moyen (Zezika Omby),très chaud,26
151,Sableux,Orange / Rouge,Irrigue (Continu),9,Nul,froid,14
152,Sableux,Orange / Rouge,Pluvial,12,Fort (Zezika + NPK),chaud,31
153,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),10,Moyen (Zezika Omby),chaud,10
154,Limoneux,Orange / Rouge,Irrigue (Continu),12,Moyen (Zezika Omby),humide,33
155,Limoneux,Orange / Rouge,Irrigue (Continu),15,Nul,humide,47
156,Argileux (Madity),Orange / Rouge,Irrigue (Continu),12,Moyen (Zezika Omby),chaud,50
157,Limoneux,Orange / Rouge,Pluvial,17,Moyen (Zezika Omby),tres froid,16
158,Limoneux,Noiratre (Rich),Pluvial,7,Moyen (Zezika Omby),très chaud,19
159,Sableux,Orange / Rouge,Pluvial,16,Fort (Zezika + NPK),tres froid,10
160,Argileux (Madity),Orange / Rouge,Pluvial,18,Fort (Zezika + NPK),tres froid,28
161,Sableux,Brun-Grisatre,Irrigue (Continu),20,Moyen (Zezika Omby),froid,32
162,Limoneux,Brun-Grisatre,Pluvial,13,Nul,très chaud,16
163,Sableux,Brun-Grisatre,Pluvial,14,Moyen (Zezika Omby),tres froid,10
164,Argileux (Madity),Brun-Grisatre,Pluvial,17,Nul,très chaud,27
165,Argileux (Madity),Orange / Rouge,Irrigue (Continu),9,Moyen (Zezika Omby),tres froid,26
166,Sableux,Noiratre (Rich),Irrigue (Continu),10,Fort (Zezika + NPK),froid,36
167,Argileux (Madity),Orange / Rouge,Pluvial,11,Moyen (Zezika Omby),froid,20
168,Argileux (Madity),Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),humide,36
169,Sableux,Noiratre (Rich),Irrigue (Continu),20,Nul,humide,32
170,Limoneux,Orange / Rouge,Pluvial,11,Nul,tres froid,10
171,Limoneux,Noiratre (Rich),Irrigue (Continu),5,Fort (Zezika + NPK),très chaud,35
172,Sableux,Orange / Rouge,Pluvial,5,Moyen (Zezika Omby),froid,10
173,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),chaud,32
174,Sableux,Orange / Rouge,Pluvial,7,Nul,froid,10
175,Sableux,Orange / Rouge,Irrigue (Continu),19,Nul,humide,12
176,Limoneux,Noiratre (Rich),Pluvial,9,Nul,tres froid,13
177,Sableux,Noiratre (Rich),Irrigue (Continu),12,Moyen (Zezika Omby),très chaud,27
178,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Fort (Zezika + NPK),froid,25
179,Sableux,Noiratre (Rich),Irrigue (Continu),5,Fort (Zezika + NPK),tres froid,12
180,Argileux (Madity),Orange / Rouge,Irrigue (Continu),17,Fort (Zezika + NPK),très chaud,50
181,Sableux,Orange / Rouge,Irrigue (Continu),16,Moyen (Zezika Omby),très chaud,11
182,Argileux (Madity),Brun-Grisatre,Pluvial,20,Moyen (Zezika Omby),chaud,48
183,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),chaud,50
184,Argileux (Madity),Brun-Grisatre,Pluvial,8,Fort (Zezika + NPK),chaud,47
185,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),froid,46
186,Sableux,Noiratre (Rich),Pluvial,9,Nul,humide,17
187,Limoneux,Brun-Grisatre,Pluvial,18,Moyen (Zezika Omby),froid,20
188,Limoneux,Noiratre (Rich),Pluvial,8,Nul,humide,18
189,Argileux (Madity),Noiratre (Rich),Pluvial,8,Nul,chaud,39
190,Sableux,Orange / Rouge,Irrigue (Continu),20,Moyen (Zezika Omby),tres froid,29
191,Limoneux,Noiratre (Rich),Pluvial,5,Fort (Zezika + NPK),humide,26
192,Limoneux,Brun-Grisatre,Irrigue (Continu),14,Nul,très chaud,22
193,Limoneux,Noiratre (Rich),Irrigue (Continu),8,Fort (Zezika + NPK),humide,45
194,Sableux,Noiratre (Rich),Irrigue (Continu),11,Fort (Zezika + NPK),tres froid,26
195,Sableux,Orange / Rouge,Pluvial,10,Nul,tres froid,10
196,Argileux (Madity),Noiratre (Rich),Pluvial,5,Fort (Zezika + NPK),chaud,45
197,Limoneux,Orange / Rouge,Pluvial,8,Nul,tres froid,10
198,Argileux (Madity),Brun-Grisatre,Pluvial,15,Moyen (Zezika Omby),froid,31
199,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),16,Fort (Zezika + NPK),chaud,50
200,Argileux (Madity),Noiratre (Rich),Pluvial,17,Fort (Zezika + NPK),tres froid,30
201,Argileux (Madity),Orange / Rouge,Irrigue (Continu),18,Nul,tres froid,18
202,Sableux,Noiratre (Rich),Irrigue (Continu),13,Moyen (Zezika Omby),humide,27
203,Limoneux,Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),chaud,35
204,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),15,Moyen (Zezika Omby),tres froid,34
205,Limoneux,Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),tres froid,23
206,Limoneux,Brun-Grisatre,Pluvial,9,Fort (Zezika + NPK),humide,29
207,Limoneux,Noiratre (Rich),Pluvial,19,Moyen (Zezika Omby),tres froid,48
208,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),10,Moyen (Zezika Omby),froid,40
209,Limoneux,Brun-Grisatre,Pluvial,10,Moyen (Zezika Omby),tres froid,11
210,Argileux (Madity),Brun-Grisatre,Pluvial,15,Fort (Zezika + NPK),humide,34
211,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),9,Nul,très chaud,36
212,Argileux (Madity),Noiratre (Rich),Pluvial,8,Fort (Zezika + NPK),tres froid,17
213,Sableux,Brun-Grisatre,Pluvial,12,Nul,tres froid,10
214,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),9,Nul,humide,28
215,Sableux,Orange / Rouge,Irrigue (Continu),5,Nul,chaud,14
216,Limoneux,Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),chaud,29
217,Sableux,Noiratre (Rich),Pluvial,11,Fort (Zezika + NPK),chaud,37
218,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Nul,humide,35
219,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Nul,tres froid,19
220,Sableux,Noiratre (Rich),Pluvial,8,Fort (Zezika + NPK),tres froid,14
221,Sableux,Orange / Rouge,Irrigue (Continu),7,Nul,humide,10
222,Argileux (Madity),Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),froid,15
223,Sableux,Noiratre (Rich),Irrigue (Continu),19,Moyen (Zezika Omby),froid,26
224,Limoneux,Orange / Rouge,Irrigue (Continu),5,Nul,tres froid,10
225,Sableux,Noiratre (Rich),Irrigue (Continu),11,Nul,tres froid,14
226,Limoneux,Orange / Rouge,Pluvial,19,Nul,humide,15
227,Sableux,Noiratre (Rich),Pluvial,7,Moyen (Zezika Omby),tres froid,13
228,Argileux (Madity),Orange / Rouge,Pluvial,13,Nul,froid,15
229,Sableux,Orange / Rouge,Pluvial,8,Nul,chaud,14
230,Argileux (Madity),Brun-Grisatre,Pluvial,11,Nul,très chaud,21
231,Limoneux,Orange / Rouge,Pluvial,14,Moyen (Zezika Omby),humide,17
232,Limoneux,Brun-Grisatre,Pluvial,16,Nul,très chaud,22
233,Limoneux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),humide,39
234,Argileux (Madity),Noiratre (Rich),Pluvial,16,Nul,froid,30
235,Limoneux,Orange / Rouge,Irrigue (Continu),19,Nul,très chaud,17
236,Sableux,Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),froid,18
237,Limoneux,Orange / Rouge,Pluvial,19,Nul,tres froid,10
238,Limoneux,Brun-Grisatre,Irrigue (Continu),11,Nul,très chaud,27
239,Limoneux,Orange / Rouge,Irrigue (Continu),17,Nul,très chaud,26
240,Limoneux,Orange / Rouge,Irrigue (Continu),18,Moyen (Zezika Omby),chaud,44
241,Sableux,Noiratre (Rich),Irrigue (Continu),9,Fort (Zezika + NPK),chaud,46
242,Limoneux,Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),humide,35
243,Limoneux,Orange / Rouge,Pluvial,8,Moyen (Zezika Omby),chaud,39
244,Argileux (Madity),Noiratre (Rich),Pluvial,6,Moyen (Zezika Omby),humide,27
245,Limoneux,Noiratre (Rich),Irrigue (Continu),5,Nul,chaud,33
246,Limoneux,Brun-Grisatre,Irrigue (Continu),14,Nul,tres froid,16
247,Sableux,Noiratre (Rich),Pluvial,15,Nul,tres froid,10
248,Argileux (Madity),Noiratre (Rich),Pluvial,7,Nul,tres froid,10
249,Limoneux,Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),froid,36
250,Limoneux,Noiratre (Rich),Irrigue (Continu),20,Fort (Zezika + NPK),froid,39
251,Limoneux,Brun-Grisatre,Pluvial,10,Nul,froid,10
252,Limoneux,Brun-Grisatre,Irrigue (Continu),20,Nul,froid,32
253,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),10,Moyen (Zezika Omby),tres froid,26
254,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Nul,chaud,50
255,Sableux,Brun-Grisatre,Irrigue (Continu),8,Nul,tres froid,13
256,Sableux,Orange / Rouge,Irrigue (Continu),20,Fort (Zezika + NPK),tres froid,31
257,Limoneux,Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),très chaud,24
258,Argileux (Madity),Brun-Grisatre,Pluvial,11,Moyen (Zezika Omby),humide,24
259,Limoneux,Orange / Rouge,Pluvial,9,Fort (Zezika + NPK),froid,20
260,Sableux,Orange / Rouge,Irrigue (Continu),15,Nul,très chaud,10
261,Sableux,Brun-Grisatre,Pluvial,16,Fort (Zezika + NPK),humide,21
262,Sableux,Orange / Rouge,Irrigue (Continu),7,Moyen (Zezika Omby),tres froid,13
263,Limoneux,Brun-Grisatre,Irrigue (Continu),10,Nul,chaud,45
264,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),chaud,50
265,Sableux,Brun-Grisatre,Irrigue (Continu),10,Nul,tres froid,14
266,Limoneux,Orange / Rouge,Pluvial,18,Fort (Zezika + NPK),humide,29
267,Sableux,Orange / Rouge,Pluvial,9,Fort (Zezika + NPK),tres froid,10
268,Sableux,Brun-Grisatre,Irrigue (Continu),9,Nul,très chaud,18
269,Limoneux,Brun-Grisatre,Pluvial,8,Moyen (Zezika Omby),froid,17
270,Argileux (Madity),Orange / Rouge,Pluvial,20,Fort (Zezika + NPK),tres froid,32
271,Limoneux,Noiratre (Rich),Irrigue (Continu),11,Fort (Zezika + NPK),très chaud,42
272,Sableux,Orange / Rouge,Pluvial,5,Fort (Zezika + NPK),très chaud,10
273,Sableux,Orange / Rouge,Pluvial,11,Fort (Zezika + NPK),humide,18
274,Limoneux,Noiratre (Rich),Irrigue (Continu),20,Nul,très chaud,41
275,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),très chaud,40
276,Sableux,Noiratre (Rich),Irrigue (Continu),6,Nul,tres froid,10
277,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Moyen (Zezika Omby),tres froid,37
278,Limoneux,Brun-Grisatre,Irrigue (Continu),17,Moyen (Zezika Omby),très chaud,50
279,Limoneux,Noiratre (Rich),Pluvial,7,Moyen (Zezika Omby),humide,28
280,Limoneux,Brun-Grisatre,Pluvial,9,Moyen (Zezika Omby),humide,27
281,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),froid,45
282,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),12,Nul,humide,26
283,Limoneux,Brun-Grisatre,Pluvial,18,Nul,chaud,27
284,Limoneux,Brun-Grisatre,Irrigue (Continu),10,Nul,chaud,32
285,Argileux (Madity),Noiratre (Rich),Pluvial,16,Nul,très chaud,11
286,Sableux,Brun-Grisatre,Irrigue (Continu),5,Fort (Zezika + NPK),tres froid,17
287,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),chaud,50
288,Limoneux,Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),froid,26
289,Argileux (Madity),Orange / Rouge,Irrigue (Continu),19,Fort (Zezika + NPK),humide,50
290,Sableux,Noiratre (Rich),Pluvial,10,Fort (Zezika + NPK),tres froid,10
291,Argileux (Madity),Noiratre (Rich),Pluvial,12,Moyen (Zezika Omby),chaud,45
292,Sableux,Noiratre (Rich),Irrigue (Continu),6,Nul,tres froid,10
293,Limoneux,Brun-Grisatre,Irrigue (Continu),5,Nul,très chaud,11
294,Sableux,Orange / Rouge,Irrigue (Continu),20,Fort (Zezika + NPK),très chaud,35
295,Argileux (Madity),Orange / Rouge,Pluvial,8,Moyen (Zezika Omby),très chaud,33
296,Limoneux,Brun-Grisatre,Irrigue (Continu),13,Nul,tres froid,10
297,Sableux,Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),très chaud,17
298,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Moyen (Zezika Omby),tres froid,34
299,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),13,Fort (Zezika + NPK),tres froid,29
300,Limoneux,Orange / Rouge,Pluvial,9,Moyen (Zezika Omby),très chaud,23
301,Argileux (Madity),Orange / Rouge,Irrigue (Continu),18,Moyen (Zezika Omby),humide,45
302,Sableux,Orange / Rouge,Irrigue (Continu),6,Nul,humide,13
303,Limoneux,Noiratre (Rich),Irrigue (Continu),7,Nul,froid,13
304,Argileux (Madity),Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),froid,24
305,Argileux (Madity),Orange / Rouge,Irrigue (Continu),17,Nul,très chaud,24
306,Sableux,Brun-Grisatre,Irrigue (Continu),12,Nul,tres froid,10
307,Limoneux,Noiratre (Rich),Pluvial,11,Nul,tres froid,10
308,Sableux,Brun-Grisatre,Irrigue (Continu),20,Moyen (Zezika Omby),humide,40
309,Sableux,Noiratre (Rich),Pluvial,8,Nul,humide,16
310,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),humide,50
311,Sableux,Brun-Grisatre,Irrigue (Continu),20,Nul,chaud,37
312,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),15,Fort (Zezika + NPK),humide,47
313,Sableux,Orange / Rouge,Irrigue (Continu),14,Moyen (Zezika Omby),très chaud,27
314,Limoneux,Noiratre (Rich),Irrigue (Continu),8,Moyen (Zezika Omby),chaud,48
315,Limoneux,Noiratre (Rich),Pluvial,19,Moyen (Zezika Omby),chaud,43
