,Date,Time,PH,TEMP,DO,TURBIDITY,tempC,label
135,02-02-2022,05:00:00,8.8,23.46,1.5,32.3,27,0
138,02-02-2022,06:00:00,8.2,22.97,0.9,28.6,25,0
141,02-02-2022,07:00:00,7.9,22.71,2.2,27.3,23,0
144,03-02-2022,08:00:00,8.5,22.17,1.3,30.4,28,0
147,03-02-2022,09:00:00,8.4,21.72,0.9,31.3,38,0
150,03-02-2022,10:00:00,7.6,21.62,2.5,24.8,40,0
153,03-02-2022,11:00:00,8.8,21.2,2.5,25.3,32,0
156,03-02-2022,12:00:00,8.5,21.51,2.0,30.0,27,0
159,03-02-2022,13:00:00,8.2,22.34,2.0,32.5,26,0
162,03-02-2022,14:00:00,8.2,22.72,2.3,26.9,24,0
165,03-02-2022,15:00:00,7.7,23.84,2.1,33.2,28,0
168,03-02-2022,16:00:00,8.4,24.15,1.7,21.3,37,0
171,03-02-2022,17:00:00,7.9,24.52,1.6,32.4,37,0
174,03-02-2022,18:00:00,7.5,24.97,2.3,26.0,32,0
177,03-02-2022,19:00:00,8.6,25.1,1.8,22.7,23,0
180,03-02-2022,20:00:00,8.1,24.93,2.7,26.1,22,0
183,03-02-2022,21:00:00,8.9,24.66,1.6,28.4,26,0
186,03-02-2022,22:00:00,8.5,23.89,0.3,18.7,38,0
189,03-02-2022,23:00:00,8.3,23.74,0.0,34.2,34,0
192,03-02-2022,00:00:00,7.9,23.57,0.8,26.4,31,0
195,03-02-2022,01:00:00,8.6,23.14,1.5,31.6,29,0
198,03-02-2022,02:00:00,8.0,22.87,1.1,26.8,27,0
201,03-02-2022,03:00:00,8.8,22.53,0.5,29.8,26,0
204,03-02-2022,04:00:00,7.7,22.25,0.1,25.1,31,0
207,03-02-2022,05:00:00,7.3,21.7,1.1,25.5,35,0
210,03-02-2022,06:00:00,8.3,21.09,2.3,30.3,34,0
213,03-02-2022,07:00:00,7.3,21.8,0.2,33.8,29,0
216,04-02-2022,08:00:00,8.2,22.49,2.5,27.4,25,0
219,04-02-2022,09:00:00,7.8,22.81,2.2,25.4,23,0
222,04-02-2022,10:00:00,8.3,22.96,1.2,27.7,26,0
225,04-02-2022,11:00:00,8.2,24.53,2.0,23.7,37,0
228,04-02-2022,12:00:00,8.0,25.39,2.4,21.3,34,0
231,04-02-2022,13:00:00,8.2,25.8,1.5,25.2,31,0
234,04-02-2022,14:00:00,8.3,25.22,2.7,33.0,27,0
237,04-02-2022,15:00:00,7.7,24.86,2.7,31.5,24,0
240,04-02-2022,16:00:00,8.1,24.57,1.9,32.7,24,0
243,04-02-2022,17:00:00,8.7,24.25,1.7,27.2,30,0
246,04-02-2022,18:00:00,7.7,24.14,2.1,24.1,38,0
249,04-02-2022,19:00:00,8.3,23.77,2.6,34.1,38,0
252,04-02-2022,20:00:00,8.0,23.64,2.4,29.0,29,0
255,04-02-2022,21:00:00,7.9,23.17,2.4,34.4,26,0
258,04-02-2022,22:00:00,8.7,23.02,1.9,19.0,24,0
261,04-02-2022,23:00:00,8.3,22.52,1.0,28.0,22,0
264,04-02-2022,00:00:00,8.6,22.31,0.8,31.8,25,0
267,04-02-2022,01:00:00,8.3,22.03,0.1,31.6,33,0
270,04-02-2022,02:00:00,7.7,21.71,1.8,26.4,38,0
273,04-02-2022,03:00:00,7.8,21.3,1.8,26.3,36,0
276,04-02-2022,04:00:00,7.9,21.25,2.6,29.6,30,0
279,04-02-2022,05:00:00,8.2,21.8,0.1,22.7,25,0
282,04-02-2022,06:00:00,8.9,22.97,2.6,32.0,22,0
285,04-02-2022,07:00:00,7.9,23.18,1.9,30.8,25,0
288,05-02-2022,08:00:00,7.6,24.09,0.7,24.9,34,0
291,05-02-2022,09:00:00,8.8,24.82,1.4,21.2,34,0
294,05-02-2022,10:00:00,7.8,25.58,1.9,32.7,29,0
297,05-02-2022,11:00:00,8.6,25.62,0.8,31.8,28,0
300,05-02-2022,12:00:00,8.5,25.51,2.5,34.4,26,0
303,05-02-2022,13:00:00,7.8,24.69,2.1,24.8,26,0
306,05-02-2022,14:00:00,8.0,24.31,2.5,28.1,32,0
309,05-02-2022,15:00:00,7.4,23.95,0.3,21.1,31,0
312,05-02-2022,16:00:00,8.2,23.7,1.6,20.0,31,0
315,05-02-2022,17:00:00,7.7,23.49,1.3,27.4,26,0
318,05-02-2022,18:00:00,7.7,23.02,2.6,26.1,24,0
321,05-02-2022,19:00:00,8.3,22.15,1.0,34.0,24,0
324,05-02-2022,20:00:00,7.7,21.75,2.4,30.8,37,0
327,05-02-2022,21:00:00,8.7,21.02,1.5,20.9,31,0
330,05-02-2022,22:00:00,8.4,21.88,0.1,31.4,27,0
333,05-02-2022,23:00:00,7.7,23.55,0.2,23.3,21,0
336,05-02-2022,00:00:00,7.9,24.13,1.7,23.7,29,0
339,05-02-2022,01:00:00,7.8,25.04,0.1,31.5,38,0
342,05-02-2022,02:00:00,7.8,25.37,0.6,28.0,38,0
345,05-02-2022,03:00:00,8.9,25.61,2.7,19.3,34,0
348,05-02-2022,04:00:00,7.8,25.96,2.9,22.8,28,0
351,05-02-2022,05:00:00,7.9,25.74,0.7,32.0,25,0
354,05-02-2022,06:00:00,7.7,25.32,0.2,21.9,24,0
357,05-02-2022,07:00:00,7.6,24.89,2.2,20.8,24,0
360,06-02-2022,08:00:00,7.8,24.38,0.4,29.0,39,0
363,06-02-2022,09:00:00,8.4,24.01,2.6,32.2,37,0
366,06-02-2022,10:00:00,8.2,23.68,0.7,24.0,31,0
369,06-02-2022,11:00:00,8.6,23.22,2.5,28.3,27,0
372,06-02-2022,12:00:00,8.9,23.88,1.4,29.6,25,0
375,06-02-2022,13:00:00,7.3,23.38,1.5,33.2,22,0
378,06-02-2022,14:00:00,7.5,22.88,2.9,30.8,38,0
381,06-02-2022,15:00:00,8.1,22.55,2.4,29.9,40,0
384,06-02-2022,16:00:00,7.3,22.08,2.9,33.9,36,0
387,06-02-2022,17:00:00,8.9,22.2,0.8,21.1,29,0
390,06-02-2022,18:00:00,7.3,22.97,0.9,32.4,26,0
393,06-02-2022,19:00:00,8.9,23.23,0.9,20.0,25,0
396,06-02-2022,20:00:00,8.8,23.79,1.5,28.6,28,0
399,06-02-2022,21:00:00,8.5,25.5,0.9,24.5,40,0
402,06-02-2022,22:00:00,8.1,26.35,0.9,20.9,37,0
405,06-02-2022,23:00:00,7.4,26.91,0.0,30.5,34,0
408,06-02-2022,00:00:00,7.4,26.98,2.1,22.0,31,0
411,06-02-2022,01:00:00,8.8,26.73,1.8,21.5,29,0
414,06-02-2022,02:00:00,7.5,26.42,1.3,23.9,27,0
417,06-02-2022,03:00:00,8.4,25.71,2.2,33.2,29,0
420,06-02-2022,04:00:00,7.8,25.3,2.5,28.3,37,0
423,06-02-2022,05:00:00,8.1,25.1,1.2,33.1,36,0
426,06-02-2022,06:00:00,8.7,24.86,2.9,24.2,32,0
429,06-02-2022,07:00:00,7.5,24.42,0.4,27.1,29,0
432,07-02-2022,08:00:00,7.6,24.06,1.3,19.0,26,0
435,07-02-2022,09:00:00,8.5,23.68,0.6,19.4,22,0
438,07-02-2022,10:00:00,8.3,23.46,0.0,21.0,28,0
441,07-02-2022,11:00:00,8.0,23.05,2.5,26.2,37,0
444,07-02-2022,12:00:00,8.2,22.89,1.4,24.3,37,0
447,07-02-2022,13:00:00,8.4,24.62,1.1,33.8,26,0
450,07-02-2022,14:00:00,8.0,25.01,1.0,19.6,26,0
453,07-02-2022,15:00:00,7.4,25.42,1.6,31.2,30,0
456,07-02-2022,16:00:00,8.3,26.49,1.8,19.0,37,0
459,07-02-2022,17:00:00,8.0,27.35,0.3,24.9,38,0
462,07-02-2022,18:00:00,7.3,27.52,0.5,29.2,31,0
465,07-02-2022,19:00:00,8.1,26.82,0.4,33.9,28,0
468,07-02-2022,20:00:00,7.6,26.43,1.1,27.5,24,0
471,07-02-2022,21:00:00,7.3,25.87,0.3,21.2,25,0
474,07-02-2022,22:00:00,7.4,25.37,1.5,33.3,32,0
477,07-02-2022,23:00:00,8.0,25.0,2.2,30.9,38,0
480,07-02-2022,00:00:00,8.2,24.97,0.6,20.5,36,0
483,07-02-2022,01:00:00,8.4,24.83,1.5,21.4,32,0
486,07-02-2022,02:00:00,7.5,24.14,1.5,31.6,26,0
489,07-02-2022,03:00:00,7.8,25.55,1.2,25.7,24,0
492,07-02-2022,04:00:00,8.9,24.94,2.0,32.2,26,0
495,07-02-2022,05:00:00,7.4,24.54,0.1,22.6,36,0
498,07-02-2022,06:00:00,8.6,24.3,1.4,31.8,40,0
501,07-02-2022,07:00:00,7.3,24.11,2.5,32.6,33,0
504,08-02-2022,08:00:00,8.9,24.58,2.6,24.6,30,0
507,08-02-2022,09:00:00,8.7,25.06,0.7,28.9,29,0
510,08-02-2022,10:00:00,7.5,25.63,1.6,31.7,27,0
513,08-02-2022,11:00:00,7.9,26.35,2.8,20.6,26,0
516,08-02-2022,12:00:00,8.4,27.23,2.4,29.4,33,0
519,08-02-2022,13:00:00,7.9,27.65,2.7,19.9,38,0
522,08-02-2022,14:00:00,8.6,28.94,0.3,19.1,37,0
525,08-02-2022,15:00:00,7.5,29.76,0.9,30.1,31,0
528,08-02-2022,16:00:00,8.5,29.49,0.3,22.0,27,0
531,08-02-2022,17:00:00,7.8,29.32,0.9,29.4,25,0
534,08-02-2022,18:00:00,7.9,28.7,2.5,21.9,23,0
537,08-02-2022,19:00:00,7.4,28.09,2.1,23.6,27,0
540,08-02-2022,20:00:00,7.4,27.75,1.1,27.2,38,0
543,08-02-2022,21:00:00,8.9,26.64,0.4,22.9,38,0
546,08-02-2022,22:00:00,8.1,26.35,2.3,30.8,33,0
549,08-02-2022,23:00:00,7.5,26.12,1.9,26.0,29,0
552,08-02-2022,00:00:00,8.1,25.86,0.9,19.2,26,0
555,08-02-2022,01:00:00,8.5,25.75,2.4,40.1,23,0
558,08-02-2022,02:00:00,8.2,25.64,0.2,24.3,28,0
561,08-02-2022,03:00:00,8.3,25.36,0.5,36.5,37,0
564,08-02-2022,04:00:00,8.2,24.79,2.1,27.5,41,0
567,08-02-2022,05:00:00,7.7,24.13,1.7,12.8,35,0
570,08-02-2022,06:00:00,8.1,24.51,1.2,21.2,30,0
573,08-02-2022,07:00:00,8.1,25.47,2.7,17.5,28,0
576,09-02-2022,08:00:00,7.3,26.74,2.5,37.2,26,0
579,09-02-2022,09:00:00,8.3,27.68,2.9,13.8,32,0
582,09-02-2022,10:00:00,8.4,28.24,1.3,31.3,41,0
585,09-02-2022,11:00:00,6.4,34.05,6.757159791,35.3,33,0
588,09-02-2022,12:00:00,7.6912,24.5916,0.80784,31.806,17,0
591,09-02-2022,13:00:00,7.4888,24.3892,1.31274,23.2902,15,0
594,09-02-2022,14:00:00,7.4888,24.035,1.61568,34.4736,17,0
597,09-02-2022,15:00:00,8.5008,23.89332,0.0,26.5734,25,0
600,09-02-2022,16:00:00,7.6912,23.54924,2.0196,23.8032,31,0
603,09-02-2022,17:00:00,8.602,22.59796,1.71666,30.1644,21,0
606,09-02-2022,18:00:00,8.602,22.2134,0.0,23.598,18,0
609,09-02-2022,19:00:00,7.59,21.8592,1.21176,31.4982,16,0
612,09-02-2022,20:00:00,7.9948,21.505,1.31274,32.4216,23,0
615,09-02-2022,21:00:00,7.9948,22.02112,0.5049,33.2424,31,0
618,09-02-2022,22:00:00,7.59,22.63844,2.22156,28.1124,28,0
621,09-02-2022,23:00:00,8.1972,23.16468,2.5245,34.4736,22,0
624,09-02-2022,00:00:00,8.5008,24.44992,2.72646,23.9058,20,0
627,09-02-2022,01:00:00,8.9056,25.23928,1.71666,23.9058,19,0
630,09-02-2022,02:00:00,8.2984,25.61372,1.61568,19.1862,16,0
633,09-02-2022,03:00:00,8.3996,25.806,0.90882,19.5966,19,0
636,09-02-2022,04:00:00,7.6912,26.37272,2.82744,27.2916,27,0
639,09-02-2022,05:00:00,8.096,26.23104,2.62548,25.65,31,0
642,09-02-2022,06:00:00,7.6912,25.99828,2.82744,24.111,22,0
645,09-02-2022,07:00:00,7.7924,25.61372,1.0098,19.6992,18,0
648,10-02-2022,08:00:00,8.2984,24.75352,2.42352,21.3408,17,0
651,10-02-2022,09:00:00,8.602,24.42968,1.61568,32.832,18,0
654,10-02-2022,10:00:00,8.096,23.80224,2.92842,22.572,27,0
657,10-02-2022,11:00:00,8.9056,23.41768,2.72646,32.9346,31,0
660,10-02-2022,12:00:00,7.7924,23.01288,1.5147,19.9044,24,0
663,10-02-2022,13:00:00,7.9948,22.42592,0.60588,34.2684,20,0
666,10-02-2022,14:00:00,7.4888,22.00088,0.80784,30.9852,17,0
669,10-02-2022,15:00:00,8.096,21.9098,1.61568,19.1862,17,0
672,10-02-2022,16:00:00,8.602,21.68716,2.72646,26.8812,17,0
675,10-02-2022,17:00:00,8.3996,21.48476,1.21176,26.2656,26,0
678,10-02-2022,18:00:00,7.9948,22.1122,0.10098,28.0098,30,0
681,10-02-2022,19:00:00,7.6912,22.38544,0.0,33.345,22,0
684,10-02-2022,20:00:00,8.1972,23.29624,2.92842,27.8046,19,0
687,10-02-2022,21:00:00,7.4888,24.37908,2.0196,22.7772,16,0
690,10-02-2022,22:00:00,7.6912,24.81424,2.22156,27.4968,15,0
693,10-02-2022,23:00:00,7.59,25.47204,1.21176,28.3176,18,0
696,10-02-2022,00:00:00,9.0068,26.38284,0.5049,25.137,26,0
699,10-02-2022,01:00:00,7.59,25.8566,2.42352,20.3148,30,0
702,10-02-2022,02:00:00,7.9948,25.41132,1.5147,30.3696,20,0
705,10-02-2022,03:00:00,8.096,24.78388,0.60588,26.3682,18,0
708,10-02-2022,04:00:00,7.3876,24.56124,0.60588,24.111,17,0
711,10-02-2022,05:00:00,7.7924,24.24752,1.21176,22.572,15,0
714,10-02-2022,06:00:00,7.3876,23.99452,2.32254,31.7034,19,0
717,10-02-2022,07:00:00,8.9056,23.74152,1.5147,33.1398,28,0
720,11-02-2022,08:00:00,8.2984,23.24564,0.90882,29.3436,27,0
723,11-02-2022,09:00:00,7.9948,22.98252,2.22156,28.0098,22,0
726,11-02-2022,10:00:00,8.602,22.43604,1.31274,31.1904,19,0
729,11-02-2022,11:00:00,8.5008,21.98064,0.90882,32.1138,17,0
732,11-02-2022,12:00:00,7.6912,21.87944,2.5245,25.4448,16,0
735,11-02-2022,13:00:00,8.9056,21.4544,2.5245,25.9578,21,0
738,11-02-2022,14:00:00,8.602,21.76812,2.0196,30.78,28,0
741,11-02-2022,15:00:00,8.2984,22.60808,2.0196,33.345,29,0
744,11-02-2022,16:00:00,8.2984,22.99264,2.32254,27.5994,21,0
747,11-02-2022,17:00:00,7.7924,24.12608,2.12058,34.0632,19,0
750,11-02-2022,18:00:00,8.9056,24.50052,2.82744,24.7266,16,0
753,11-02-2022,19:00:00,9.0068,25.0976,2.22156,33.1398,17,0
756,11-02-2022,20:00:00,8.096,26.2614,2.92842,31.7034,23,0
759,11-02-2022,21:00:00,8.7032,25.4012,1.81764,23.2902,24,0
762,11-02-2022,22:00:00,8.1972,25.22916,2.72646,26.7786,21,0
765,11-02-2022,23:00:00,9.0068,24.95592,1.61568,29.1384,19,0
768,11-02-2022,00:00:00,8.3996,24.02488,0.0,35.0892,18,0
771,11-02-2022,01:00:00,7.9948,23.85284,0.80784,27.0864,23,0
774,11-02-2022,02:00:00,8.7032,23.41768,1.5147,32.4216,29,0
777,11-02-2022,03:00:00,8.096,23.14444,1.11078,27.4968,22,0
780,11-02-2022,04:00:00,7.7924,22.52712,2.32254,31.806,20,0
783,11-02-2022,05:00:00,7.3876,21.9604,1.11078,26.163,18,0
786,11-02-2022,06:00:00,7.9948,21.26212,1.5147,25.5474,20,0
789,11-02-2022,07:00:00,9.0068,22.0616,2.12058,26.0604,29,0
792,12-02-2022,08:00:00,8.9056,22.8712,2.62548,22.8798,26,0
795,12-02-2022,09:00:00,7.4888,23.1242,2.82744,28.3176,22,0
798,12-02-2022,10:00:00,8.7032,23.9844,1.61568,34.2684,20,0
801,12-02-2022,11:00:00,8.9056,25.10772,1.11078,30.6774,18,0
804,12-02-2022,12:00:00,8.8044,25.77564,0.0,28.1124,23,0
807,12-02-2022,13:00:00,8.602,25.68456,2.42352,26.0604,30,0
810,12-02-2022,14:00:00,7.59,25.33036,0.20196,32.2164,25,0
813,12-02-2022,15:00:00,7.3876,24.95592,2.92842,34.5762,21,0
816,12-02-2022,16:00:00,8.1972,24.6928,1.81764,25.65,20,0
819,12-02-2022,17:00:00,7.59,24.44992,2.32254,34.2684,20,0
822,12-02-2022,18:00:00,8.096,24.06536,1.71666,30.267,19,0
825,12-02-2022,19:00:00,7.59,24.00464,0.10098,26.0604,23,0
828,12-02-2022,20:00:00,8.9056,23.5796,1.21176,19.2888,29,0
831,12-02-2022,21:00:00,7.3876,23.40756,0.70686,32.1138,31,0
834,12-02-2022,22:00:00,8.5008,23.05336,0.40392,28.5228,22,0
837,12-02-2022,23:00:00,7.9948,22.64856,1.31274,24.624,21,0
840,12-02-2022,00:00:00,7.6912,22.44616,0.5049,32.6268,20,0
843,12-02-2022,01:00:00,8.7032,21.98064,2.0196,26.8812,19,0
846,12-02-2022,02:00:00,8.1972,21.8086,1.11078,31.0878,17,0
849,12-02-2022,03:00:00,8.7032,21.3026,0.0,34.5762,21,0
852,12-02-2022,04:00:00,8.5008,21.83896,2.5245,19.494,28,0
855,12-02-2022,05:00:00,9.0068,23.24564,2.62548,32.832,20,0
858,12-02-2022,06:00:00,7.9948,23.45816,1.91862,31.6008,18,0
861,12-02-2022,07:00:00,8.602,24.73328,0.90882,30.78,16,0
864,13-02-2022,08:00:00,7.7924,25.74528,0.5049,31.806,18,0
867,13-02-2022,09:00:00,7.59,26.06912,1.71666,23.085,25,0
870,13-02-2022,10:00:00,8.9056,25.88696,2.42352,23.4954,29,0
873,13-02-2022,11:00:00,8.2984,25.553,0.80784,23.2902,19,0
876,13-02-2022,12:00:00,8.1972,24.88508,1.61568,28.4202,16,0
879,13-02-2022,13:00:00,7.6912,24.3386,0.30294,29.5488,15,0
882,13-02-2022,14:00:00,8.3996,24.05524,1.21176,25.0344,16,0
885,13-02-2022,15:00:00,8.7032,23.79212,2.22156,26.5734,25,0
888,13-02-2022,16:00:00,7.4888,23.40756,2.42352,25.5474,28,0
891,13-02-2022,17:00:00,7.7924,22.52712,2.62548,23.9058,18,0
894,13-02-2022,18:00:00,7.4888,22.0616,1.41372,23.085,17,0
897,13-02-2022,19:00:00,7.3876,21.37344,0.90882,33.1398,18,0
900,13-02-2022,20:00:00,8.096,22.6182,2.22156,29.9592,28,0
903,13-02-2022,21:00:00,7.7924,23.8326,0.20196,23.9058,19,0
906,13-02-2022,22:00:00,7.9948,24.41956,1.71666,24.3162,18,0
909,13-02-2022,23:00:00,7.8936,25.34048,0.10098,32.319,16,0
912,13-02-2022,00:00:00,7.8936,25.67444,0.60588,28.728,15,0
915,13-02-2022,01:00:00,7.3876,26.27152,2.92842,34.1658,23,0
918,13-02-2022,02:00:00,7.6912,26.2614,2.12058,19.2888,29,0
921,13-02-2022,03:00:00,8.3996,25.93756,2.72646,31.7034,31,0
924,13-02-2022,04:00:00,8.602,25.553,0.30294,23.4954,23,0
927,13-02-2022,05:00:00,8.9056,25.12796,2.72646,30.9852,20,0
930,13-02-2022,06:00:00,8.5008,24.29812,2.62548,33.0372,19,0
933,13-02-2022,07:00:00,8.2984,23.96416,0.70686,24.624,26,0
936,14-02-2022,08:00:00,8.7032,23.49864,2.5245,29.0358,31,0
939,14-02-2022,09:00:00,9.0068,24.16656,1.41372,30.3696,26,0
942,14-02-2022,10:00:00,7.3876,23.66056,1.5147,34.0632,23,0
945,14-02-2022,11:00:00,7.59,23.15456,2.92842,31.6008,19,0
948,14-02-2022,12:00:00,7.3876,22.59796,1.5147,22.059,17,0
951,14-02-2022,13:00:00,8.7032,22.30448,2.92842,33.7554,24,0
954,14-02-2022,14:00:00,8.7032,22.54736,0.40392,34.4736,30,0
957,14-02-2022,15:00:00,8.2984,23.34684,0.80784,21.033,31,0
960,14-02-2022,16:00:00,9.0068,23.65044,0.5049,34.2684,23,0
963,14-02-2022,17:00:00,7.4888,24.77376,1.11078,34.1658,20,0
966,14-02-2022,18:00:00,8.096,25.92744,2.72646,30.3696,18,0
969,14-02-2022,19:00:00,7.4888,26.67632,0.10098,21.4434,18,0
972,14-02-2022,20:00:00,9.0068,27.23292,0.10098,20.52,24,0
975,14-02-2022,21:00:00,8.1972,27.16208,0.70686,20.1096,29,0
978,14-02-2022,22:00:00,8.3996,26.90908,1.81764,34.884,27,0
981,14-02-2022,23:00:00,9.0068,26.64596,1.61568,20.6226,21,0
984,14-02-2022,00:00:00,7.3876,25.9072,1.41372,30.6774,19,0
987,14-02-2022,01:00:00,7.7924,25.51252,2.82744,20.8278,16,0
990,14-02-2022,02:00:00,7.7924,25.3506,1.0098,32.5242,15,0
993,14-02-2022,03:00:00,8.7032,25.07736,0.90882,31.806,25,0
996,14-02-2022,04:00:00,7.59,24.44992,2.62548,19.494,30,0
999,14-02-2022,05:00:00,7.7924,24.04512,0.90882,19.8018,20,0
1002,14-02-2022,06:00:00,7.4888,23.9338,2.5245,32.9346,18,0
1005,14-02-2022,07:00:00,7.8936,23.45816,2.62548,19.2888,15,0
1008,15-02-2022,08:00:00,8.9056,23.26588,1.41372,33.6528,13,0
1011,15-02-2022,09:00:00,7.3876,0.0,2.12058,34.1658,20,0
1014,15-02-2022,10:00:00,8.8044,24.72316,2.62548,32.5242,23,0
1017,15-02-2022,11:00:00,8.096,25.31012,1.0098,20.1096,17,0
1020,15-02-2022,12:00:00,7.4888,25.72504,1.61568,32.0112,16,0
1023,15-02-2022,13:00:00,8.096,27.6782,0.309,25.5474,13,0
1026,15-02-2022,14:00:00,7.3876,27.85024,0.515,29.9592,24,0
1029,15-02-2022,15:00:00,7.4888,27.69844,0.618,20.1096,29,0
1032,15-02-2022,16:00:00,7.6912,27.00016,1.751,24.7266,27,0
1035,15-02-2022,17:00:00,8.7032,26.47392,2.678,29.241,20,0
1038,15-02-2022,18:00:00,7.6912,25.806,0.309,23.8032,19,0
1041,15-02-2022,19:00:00,7.8936,25.36072,0.103,32.0112,17,0
1044,15-02-2022,20:00:00,8.9056,25.27976,1.133,19.8018,16,0
1047,15-02-2022,21:00:00,7.59,25.16844,0.0,29.0358,18,0
1050,15-02-2022,22:00:00,8.3996,24.58148,1.236,24.8292,27,0
1053,15-02-2022,23:00:00,8.8822,25.88696,2.884,19.494,23,0
1056,15-02-2022,00:00:00,8.2834,25.61372,2.987,19.3914,19,0
1059,15-02-2022,01:00:00,8.1836,25.20892,1.133,29.754,16,0
1062,15-02-2022,02:00:00,8.483,24.6422,0.103,22.8798,14,0
1065,15-02-2022,03:00:00,7.2854,24.56124,2.781,35.0892,14,0
1068,15-02-2022,04:00:00,8.2834,24.51064,2.884,34.6788,20,0
1071,15-02-2022,05:00:00,7.485,25.15832,1.648,27.9072,27,0
1074,15-02-2022,06:00:00,7.5848,25.46192,0.515,19.5966,25,0
1077,15-02-2022,07:00:00,7.984,26.12984,2.06,22.2642,18,0
1080,16-02-2022,08:00:00,8.2834,26.77752,0.618,28.5228,17,0
1083,16-02-2022,09:00:00,8.483,27.63772,0.309,26.4708,16,0
1086,16-02-2022,10:00:00,7.485,28.64972,0.618,20.52,14,0
1089,16-02-2022,11:00:00,8.7824,29.7528,1.236,26.163,16,0
1092,16-02-2022,12:00:00,7.3852,30.06652,2.987,33.4476,23,0
1095,16-02-2022,13:00:00,7.7844,29.8034,0.927,23.8032,27,0
1098,16-02-2022,14:00:00,8.0838,29.32776,1.339,27.5994,22,0
1101,16-02-2022,15:00:00,8.1836,28.87236,2.472,33.4476,17,0
1104,16-02-2022,16:00:00,7.984,28.2854,2.472,29.9592,15,0
1107,16-02-2022,17:00:00,7.3852,27.61748,0.824,27.2916,13,0
1110,16-02-2022,18:00:00,8.2834,26.75728,2.575,28.1124,15,0
1113,16-02-2022,19:00:00,8.8822,26.64596,0.721,23.1876,21,0
1116,16-02-2022,20:00:00,8.0838,26.4132,1.545,34.0632,27,0
1119,16-02-2022,21:00:00,8.8822,26.07924,1.03,19.2888,25,0
1122,16-02-2022,22:00:00,8.0838,26.01852,2.163,34.2684,17,0
1125,16-02-2022,23:00:00,8.5828,25.89708,2.369,12.9276,16,0
1128,16-02-2022,00:00:00,8.8822,25.66432,1.751,11.0808,14,0
1131,16-02-2022,01:00:00,7.6846,24.70292,0.206,14.5692,13,0
1134,16-02-2022,02:00:00,7.2854,24.4398,1.648,19.9044,21,0
